Šifra;Centar odgovornosti
CS102;BJELOVAR
CS102-4;BJELOVAR
CS103;BJELOVAR
CS115;BJELOVAR
CS115-2;BJELOVAR
CS115-3;BJELOVAR
CS120;BJELOVAR
CS120-4;BJELOVAR
CS120-5;BJELOVAR
CS121;BJELOVAR
CS125;BJELOVAR
CS135;BJELOVAR
CS135-4;BJELOVAR
CS140;BJELOVAR
CS150;BJELOVAR
CS164;BJELOVAR
CS165;BJELOVAR
CS165-4;BJELOVAR
CS175;BJELOVAR
CS175-4;BJELOVAR
CS194;BJELOVAR
CS195;BJELOVAR
CS195-4;BJELOVAR
MP1041;MP BJELOVA
MP1041Z;MP BJELOVA
MP1042;MP BJELOVA
MP1043;MP BJELOVA
MP1044;MP BJELOVA
MP1045;MP BJELOVA
MP1046;MP BJELOVA
MP1047;MP BJELOVA
MP1048;MP BJELOVA
MP1051;MP SESVETE
MP1051Z;MP SESVETE
MP1052;MP SESVETE
MP1053;MP SESVETE
MP1054;MP SESVETE
MP1055;MP SESVETE
MP1056;MP SESVETE
MP1057;MP SESVETE
MP1058;MP SESVETE
MP1058A;MP SESVETE
MP1058O;MP SESVETE
MP1059;MP SESVETE
MP1059A;MP SESVETE
MP1059B;MP SESVETE
MP1061;MP SPLIT
MP1061Z;MP SPLIT
MP1062;MP SPLIT
MP1062A;MP SPLIT
MP1063;MP SPLIT
MP1064;MP SPLIT
MP1065;MP SPLIT
MP1066;MP SPLIT
MP1067;MP SPLIT
MP1068;MP SPLIT
MP1069;MP SPLIT
MP1069A;MP SPLIT
MP1069B;MP SPLIT
MP1071;MP TROGIR
MP1071Z;MP TROGIR
MP1072;MP TROGIR
MP1073;MP TROGIR
MP1074;MP TROGIR
MP1075;MP TROGIR
MP1081;MP DARUVAR
MP1081Z;MP DARUVAR
MP1082;MP DARUVAR
MP1083;MP DARUVAR
MP1084;MP DARUVAR
MP1085;MP DARUVAR
MP1086;MP DARUVAR
MP1091;MP JANKOMI
MP1091Z;MP JANKOMI
MP1092;MP JANKOMI
MP1092A;MP JANKOMI
MP1092B;MP JANKOMI
MP1093;MP JANKOMI
MP1094;MP JANKOMI
MP1095;MP JANKOMI
MP1096;MP JANKOMI
MP1097;MP JANKOMI
MP1098;MP JANKOMI
MP1098V;MP JANKOMI
MP1099;MP JANKOMI
MP1099V;MP JANKOMI
MP109HTV;MP JANKOMI
MP109PN;MP JANKOMI
MP109RTL;MP JANKOMI
MP109TEPIH;MP JANKOMI
MP1101;MP VRBOVEC
MP1101Z;MP VRBOVEC
MP1102;MP VRBOVEC
MP1103;MP VRBOVEC
MP1104;MP VRBOVEC
MP1131;MP SISAK
MP1131Z;MP SISAK
MP1132;MP SISAK
MP1133;MP SISAK
MP1134;MP SISAK
MP1221;MP KOPRIVN
MP1221Z;MP KOPRIVN
MP1222;MP KOPRIVN
MP1223;MP KOPRIVN
MP1224;MP KOPRIVN
MP1225;MP KOPRIVN
MP1226;MP KOPRIVN
MP1227;MP KOPRIVN
MP1261;MP KARLOVA
MP1261Z;MP KARLOVA
MP1262;MP KARLOVA
MP1263;MP KARLOVA
MP1264;MP KARLOVA
MP1265;MP KARLOVA
MP1266;MP KARLOVA
MP1311;MP DUBROVN
MP1311Z;MP DUBROVN
MP1312;MP DUBROVN
MP1313;MP DUBROVN
MP1314;MP DUBROVN
MP1321;MP ČAKOVEC
MP1321Z;MP ČAKOVEC
MP1322;MP ČAKOVEC
MP1323;MP ČAKOVEC
MP1324;MP ČAKOVEC
MP1341;MP KNIN
MP1341Z;MP KNIN
MP1342;MP KNIN
MP1343;MP KNIN
MP1344;MP KNIN
MP1361;MP SL. BRO
MP1361Z;MP SL. BRO
MP1362;MP SL. BRO
MP1363;MP SL. BRO
MP1364;MP SL. BRO
MP1365;MP SL. BRO
MP1366;MP SL. BRO
MP1401;MP VINKOVC
MP1401Z;MP VINKOVC
MP1402;MP VINKOVC
MP1403;MP VINKOVC
MP1404;MP VINKOVC
MP1405;MP VINKOVC
MP1406;MP VINKOVC
MP1407;MP VINKOVC
MP1408;MP VINKOVC
MP1409;MP VINKOVC
MP1411;MP OSIJEK
MP1411Z;MP OSIJEK
MP1412;MP OSIJEK
MP1413;MP OSIJEK
MP1414;MP OSIJEK
MP1415;MP OSIJEK
MP1415A;MP OSIJEK
MP1416;MP OSIJEK
MP1417;MP OSIJEK
MP1418;MP OSIJEK
MP1419;MP OSIJEK
MP141D;MP OSIJEK
MP141DV;MP OSIJEK
MP141E;MP OSIJEK
MP141EV;MP OSIJEK
MP1421;MP SINJ
MP1421Z;MP SINJ
MP1422;MP SINJ
MP1423;MP SINJ
MP1424;MP SINJ
MP1441;MP RIJEKA
MP1441Z;MP RIJEKA
MP1442;MP RIJEKA
MP1443;MP RIJEKA
MP1444;MP RIJEKA
MP1445;MP RIJEKA
MP1446;MP RIJEKA
MP1447;MP RIJEKA
MP1448;MP RIJEKA
MP1449;MP RIJEKA
MP144D;MP RIJEKA
MP144E;MP RIJEKA
MP144F;MP RIJEKA
MP144G;MP RIJEKA
MP1451;MP ZADAR
MP1451Z;MP ZADAR
MP1452;MP ZADAR
MP1453;MP ZADAR
MP1454;MP ZADAR
MP1455;MP ZADAR
MP1456;MP ZADAR
MP1457;MP ZADAR
MP1458;MP ZADAR
MP1459;MP ZADAR
MP145A;MP ZADAR
MP145B;MP ZADAR
MP145C;MP ZADAR
MP145D;MP ZADAR
MP145E;MP ZADAR
MP1471;MP NOVIGRA
MP1471Z;MP NOVIGRA
MP1472;MP NOVIGRA
MP1473;MP NOVIGRA
MP1474;MP NOVIGRA
MP1477;MP NOVIGRA
MP1478;MP NOVIGRA
MP1479;MP NOVIGRA
MP1481;MP VALPOVO
MP1481Z;MP VALPOVO
MP1482;MP VALPOVO
MP1483;MP VALPOVO
MP1484;MP VALPOVO
MP1485;MP VALPOVO
MP1486;MP VALPOVO
MP1491;MP GOSPIĆ
MP1491Z;MP GOSPIĆ
MP1492;MP GOSPIĆ
MP1493;MP GOSPIĆ
