Document No.;Type;Quantity;Item No.;Item Description;barcode
S-OTP-26-17612;SHIPMENT;1,00;NTR102078;ISG IOLANI kut L Giulia 9713 Giulia 9713 EX.;NTR102078
S-OTP-26-17612;SHIPMENT;1124,0102;NTR102079;ISG IOLANI kut D Giulia 9713 Giulia 9713 EX.;NTR102079
S-OTP-26-17612;SHIPMENT;5,52;NTR99757;ISG WINTON kut Olio 135 Olio 135 OT FSC MIX Credit EX.;NTR99757
S-OTP-26-17612;SHIPMENT;2,00;NTR102080;ISG IKANO U kut L Degan 2513 noge: bukva natur EX.;NTR102080
S-OTP-26-17612;SHIPMENT;1,10152;NTR102081;ISG IKANO U kut D Degan 2501 noge: bukva natur EX.;NTR102081
S-OTP-26-17685;SHIPMENT;1,452;NGP202233;PC LIBERTA regal komoda 3VR+OTV. TIP 1 KORPUS hrast classic pak.1/3 ZA.;NGP202233
S-OTP-26-17685;SHIPMENT;1,00;NGP202417;PC LIBERTA regal TV komoda viseća PLAFON 240 hrast classic ZA.;NGP202417
S-OTP-26-17685;SHIPMENT;1,10152;NGP202234;PC LIBERTA regal komoda 3VR+OTV. TIP 2 KORPUS hrast classic pak.2/3 ZA.;NGP202234
S-OTP-26-17685;SHIPMENT;1,00;NGP202235;PC LIBERTA regal komoda 3VR+OTV. TIP 3 KORPUS hrast classic pak.3/3 ZA.;NGP202235
S-OTP-26-17685;SHIPMENT;1,00;NGP202287;PC LIBERTA regal komoda 3VR+OTV. PLAFON hrast classic pak.1/2 ZA.;NGP202287
S-OTP-26-17685;SHIPMENT;1,00;NGP202288;PC LIBERTA regal komoda 3VR+OTV. NOGA hrast classic pak.2/2 ZA.;NGP202288
S-OTP-26-17685;SHIPMENT;1,00;NGP202283;PC LIBERTA regal komoda 3VR+OTV. VRATA akril satin mat ZA.;NGP202283
S-OTP-26-17685;SHIPMENT;3,00;NGP202369;PC LIBERTA regal TV komoda viseća 2L/80 KORPUS hrast classic pak.1/2 ZA.;NGP202369
S-OTP-26-17685;SHIPMENT;3,00;NGP202371;PC LIBERTA regal TV komoda viseća 2L/80 OKOV hrast classic pak.2/2 ZA.;NGP202371
S-OTP-26-17685;SHIPMENT;3,00;NGP202393;PC LIBERTA regal TV komoda viseća 2L/80 MASKA akril satin mat ZA.;NGP202393
S-OTP-26-17705;SHIPMENT;1,452;NGP239862;IPC stol VITA 160x90 PLOČA hrast ontario/crno pak.1/2;NGP239862
S-OTP-26-17705;SHIPMENT;1,00;NGP239863;IPC stol VITA 160x90 POSTOLJE hrast ontario/crno pak.2/2;NGP239863
S-OTP-26-17713;SHIPMENT;4,00;NTR87583;PSS sjedište stolica ZARA Monaco 9443 sv.siva/Benett 9502 siva pak.1/2;NTR87583
S-OTP-26-17738;SHIPMENT;1,00;NGP254081;PCKK LIBERTA NEXT / 24 bij/champ-champ SUTON NA BREGU 2;NGP254081
S-OTP-26-17738;SHIPMENT;10,032;NGP254082;PCKK LIBERTA NEXT / 24 svj.tek/si.aga-si.aga  SUTON NA BREGU 1;NGP254082
S-OTP-26-17809;SHIPMENT;2,00;NTR89370;LP JASPER komoda niska 45 1VR KORPUS crna mat;NTR89370
S-OTP-26-17809;SHIPMENT;1,00;NTR89373;LP JASPER komoda niska 45 1VR VRATA LIJEVA kašmir;NTR89373
S-OTP-26-17809;SHIPMENT;2,00;NTR89327;LP JASPER komoda plafon jednostruki 45 kašmir;NTR89327
S-OTP-26-17809;SHIPMENT;1,00;NTR89549;LP JASPER komoda niska 45 1VR VRATA DESNA kašmir;NTR89549
S-OTP-26-17809;SHIPMENT;102,510;NTR89552;LP JASPER komoda niska 45 1VR VRATA DESNA crna mat;NTR89552
S-OTP-26-17809;SHIPMENT;2,00;NTR89330;LP JASPER komoda plafon jednostruki 45 crna mat;NTR89330
S-OTP-26-17809;SHIPMENT;4,00;NTR89485;LP metalno postolje 15x44,8x37,8 crno;NTR89485
S-OTP-26-17809;SHIPMENT;1,00;NTR89376;LP JASPER komoda niska 45 1VR VRATA LIJEVA crna mat;NTR89376
S-OTP-26-17809;SHIPMENT;2,00;NTR89367;LP JASPER komoda niska 45 1VR KORPUS kašmir;NTR89367
S-OTP-26-17860;SHIPMENT;2,00;NTR87569;PSS sjedište fotelja TENOR Magnum 207 tamno zelena pak.1/2;NTR87569
S-OTP-26-17860;SHIPMENT;12,00;NTR87576;PSS sjedište stolica TENOR Magnum 207 tamno zelena pak.1/2;NTR87576
S-OTP-26-17860;SHIPMENT;6,00;NTR87577;PSS sjedište stolica TENOR Magnum 28 konjak smeđa pak.1/2;NTR87577
S-OTP-26-17902;SHIPMENT;1,00;NGP253724;PCKK OPTIMA NEXT / 24 tam.tek/cr.pla-cr.pla ŠKOKO INES;NGP253724
